category,objective,guidance,manifest_url,image_ark
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000003
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000004
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000005
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000006
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000007
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000008
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000009
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00000f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000010
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000011
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000012
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000013
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000014
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000015
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000016
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000017
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000018
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000019
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00001f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000020
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000021
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000022
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000023
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000024
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000025
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000026
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000027
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000028
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000029
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00002f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000030
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000031
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000032
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000033
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000034
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000035
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000036
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000037
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000038
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000039
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000040
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000041
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000042
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000043
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000044
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000045
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000046
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000047
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000048
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000049
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000050
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000051
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000052
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000053
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000054
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000055
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000056
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000057
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000058
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000059
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000060
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000061
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000062
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000063
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000064
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000065
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000066
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000067
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000068
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000069
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000070
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000071
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000072
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000073
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000074
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000075
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000076
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000077
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000078
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000079
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00007a
